Colby College,"Colby College, Waterville, ME 04901-8851 US",7/3/14 0:00,http://libguides.colby.edu/home2,44.5638691,-69.6626362,ChIJReBdkFDksUwR0PEv4hXiITg
Smith College,"Smith College, Northampton, MA 01063-0001 US",8/26/15 0:00,http://www.smith.edu/libraries/,42.31809570000001,-72.6372341,ChIJiVouamjX5okRhESdeEVEFh4
Vassar College,"Vassar College, Poughkeepsie, NY 12604-0020 US",7/1/14 0:00,http://library.vassar.edu/,41.68604699999999,-73.89734299999999,ChIJTUtnglY-3YkRTNWCCGR9yOM
Bates College,"Bates College, Lewiston, ME 04240 US",7/8/14 0:00,http://www.bates.edu/library/,44.1057216,-70.2021865,ChIJ1a5W4ZVrskwR4r4KxE85CQ4
Furman University,"Furman University, Greenville, SC 29613 US",7/1/14 0:00,http://libguides.furman.edu/library/home,34.9237,-82.4382693,ChIJBw5xX6UzWIgRhg86-lkSG1s
Bryn Mawr College,"Bryn Mawr College, Bryn Mawr, PA 19010-2899 US",7/1/11 0:00,http://www.brynmawr.edu/library/index.html,40.0281065,-75.3152341,ChIJazx-cI2_xokRROA-Ik6hyk0
Lafayette College,"Lafayette College, Easton, PA 18042-1797 US",7/1/11 0:00,https://library.lafayette.edu/frontpage,40.6986202,-75.2087298,ChIJAZll2E5sxIkRmWtHcAi0le4
Oberlin College,"Oberlin College, Oberlin, OH 44074-1532 US",11/22/16 0:00,http://www.oberlin.edu/library/,41.29348299999999,-82.2236001,ChIJ5fKhn34KOogRZuYN4JEy-to
Bowdoin College,"Bowdoin College, Brunswick, ME 04011 US",7/15/15 0:00,https://library.bowdoin.edu/,43.9077579,-69.9604513,ChIJA6g7ND6HrUwRCXY3zMcImwo
Skidmore College,"Skidmore College, Saratoga Springs, NY 12866 US",8/17/16 0:00,http://lib.skidmore.edu/library/,43.0972759,-73.7841811,ChIJYZOZdXA33okRuVQF7kjjRK0
Whitman College,"Whitman College, Walla Walla, WA 99362 US",7/1/15 0:00,http://www.whitman.edu/penrose/,46.07057990000001,-118.3306352,ChIJmwwNSolqolQRAbh-B9WoBIc
Denison University,"Denison University, Granville, OH 43023 US",7/1/16 0:00,http://denison.edu/campus/library,40.074025,-82.522643,ChIJGZaQk9M_OIgRpkF0Zzxf8YA
Grinnell College,"Grinnell College, Grinnell, IA 50112-1690 US",10/16/15 0:00,https://www.grinnell.edu/libraries,41.74905709999999,-92.7201302,ChIJ7_nHPEBy74cRV7lMEJVsKco
Mount Holyoke College,"Mount Holyoke College, South Hadley, MA 01075-6404 US",7/1/15 0:00,https://www.mtholyoke.edu/lits,42.2532535,-72.5761394,ChIJFylIta3b5okRTE0J9Tm-qMU
